//===== eAthena Script =======================================
//= Mapflag from a script in the NPC folder
//===== By: ==================================================
//= Epoque
//===== Current Version: =====================================
//= 1.0a [Epoque]
//===== Compatible With: =====================================
//=
//===== Description: =========================================
//=
//============================================================

//hunte	mapflag	noloot
//job_knt	mapflag	noloot
//job_prist	mapflag	noloot
//job_wiz	mapflag	noloot
//job_cru	mapflag	noloot
//monk_test	mapflag	noloot
//in_rogue	mapflag	noloot
//job_sage	mapflag	noloot
//job_soul	mapflag	noloot
//job_star	mapflag	noloot
//que_ng	mapflag	noloot

//Thieves have to gather some mushrooms. So they need loot
//job_thief1	mapflag	noloot

//------------------------- Normal Maps ---------------------------	mapflag	nodrop
alb_ship	mapflag	nodrop
alb2trea	mapflag	nodrop
alberta	mapflag	nodrop
alberta_in	mapflag	nodrop
alde_dun01	mapflag	nodrop
alde_dun02	mapflag	nodrop
alde_dun03	mapflag	nodrop
alde_dun04	mapflag	nodrop
aldeba_in	mapflag	nodrop
aldebaran	mapflag	nodrop
anthell01	mapflag	nodrop
anthell02	mapflag	nodrop
arena_room	mapflag	nodrop
c_tower1	mapflag	nodrop
c_tower2	mapflag	nodrop
c_tower3	mapflag	nodrop
c_tower4	mapflag	nodrop
force_1-1	mapflag	nodrop
force_2-1	mapflag	nodrop
force_3-1	mapflag	nodrop
force_4-1	mapflag	nodrop
force_5-1	mapflag	nodrop
force_1-2	mapflag	nodrop
force_2-2	mapflag	nodrop
force_3-2	mapflag	nodrop
force_1-3	mapflag	nodrop
force_2-3	mapflag	nodrop
force_3-3	mapflag	nodrop
gef_dun00	mapflag	nodrop
gef_dun01	mapflag	nodrop
gef_dun02	mapflag	nodrop
gef_dun03	mapflag	nodrop
gef_fild00	mapflag	nodrop
gef_fild01	mapflag	nodrop
gef_fild02	mapflag	nodrop
gef_fild03	mapflag	nodrop
gef_fild04	mapflag	nodrop
gef_fild05	mapflag	nodrop
gef_fild06	mapflag	nodrop
gef_fild07	mapflag	nodrop
gef_fild08	mapflag	nodrop
gef_fild09	mapflag	nodrop
gef_fild10	mapflag	nodrop
gef_fild11	mapflag	nodrop
gef_fild12	mapflag	nodrop
gef_fild13	mapflag	nodrop
gef_fild14	mapflag	nodrop
gef_tower	mapflag	nodrop
geffen	mapflag	nodrop
geffen_in	mapflag	nodrop
gl_cas01	mapflag	nodrop
gl_cas02	mapflag	nodrop
gl_church	mapflag	nodrop
gl_chyard	mapflag	nodrop
gl_dun01	mapflag	nodrop
gl_dun02	mapflag	nodrop
gl_in01	mapflag	nodrop
gl_knt01	mapflag	nodrop
gl_knt02	mapflag	nodrop
gl_prison	mapflag	nodrop
gl_prison1	mapflag	nodrop
gl_sew01	mapflag	nodrop
gl_sew02	mapflag	nodrop
gl_sew03	mapflag	nodrop
gl_sew04	mapflag	nodrop
gl_step	mapflag	nodrop
glast_01	mapflag	nodrop
in_hunter	mapflag	nodrop
in_moc_16	mapflag	nodrop
in_orcs01	mapflag	nodrop
in_sphinx1	mapflag	nodrop
in_sphinx2	mapflag	nodrop
in_sphinx3	mapflag	nodrop
in_sphinx4	mapflag	nodrop
in_sphinx5	mapflag	nodrop
iz_dun00	mapflag	nodrop
iz_dun01	mapflag	nodrop
iz_dun02	mapflag	nodrop
iz_dun03	mapflag	nodrop
iz_dun04	mapflag	nodrop
izlu2dun	mapflag	nodrop
izlude	mapflag	nodrop
izlude_in	mapflag	nodrop
job_thief1	mapflag	nodrop
mjo_dun01	mapflag	nodrop
mjo_dun02	mapflag	nodrop
mjo_dun03	mapflag	nodrop
mjolnir_01	mapflag	nodrop
mjolnir_02	mapflag	nodrop
mjolnir_03	mapflag	nodrop
mjolnir_04	mapflag	nodrop
mjolnir_05	mapflag	nodrop
mjolnir_06	mapflag	nodrop
mjolnir_07	mapflag	nodrop
mjolnir_08	mapflag	nodrop
mjolnir_09	mapflag	nodrop
mjolnir_10	mapflag	nodrop
mjolnir_11	mapflag	nodrop
